/Users/owookami/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
2025-05-05 08:15:45,634 - pulse-crawler - INFO - [크롤링 프로세스] JSON 파일 생성 중: output/videos_20250505_081545.json
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 결과가 output/videos_20250505_081545.json에 JSON 형식으로 저장되었습니다.
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 결과 파일 저장 완료
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 데이터베이스 저장 시작
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 5개 비디오를 데이터베이스에 저장합니다.
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] Supabase 서비스 키 미리보기: eyJhbGciOi...tmgQg
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] Supabase URL: https://mdqfbcoexjdhuweziwff.supabase.co
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] Supabase API 엔드포인트: https://mdqfbcoexjdhuweziwff.supabase.co/rest/v1/videos
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] Supabase API 헤더 설정 완료
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 비디오 변환: nIeUbkAw7aU -> 8a594b98-6f0d-45c9-994d-b1db08a90f66 (platform_id: nIeUbkAw7aU)
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 비디오 변환: K9mNU4aSCjU -> aa11d8a2-780a-4885-8682-f4f15041785e (platform_id: K9mNU4aSCjU)
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 비디오 변환: lGd_IL_MOn4 -> d75823ed-b0fe-4d31-921d-ebe6a781b3e4 (platform_id: lGd_IL_MOn4)
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 비디오 변환: Cta2y5PyGR0 -> 16774f40-8774-4510-a0ae-6d1eecda4bfb (platform_id: Cta2y5PyGR0)
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 비디오 변환: D7Gn7HDfvnc -> 04c79d0a-5e63-46a7-a8a9-5a1f3060cdb1 (platform_id: D7Gn7HDfvnc)
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] Supabase API 요청 시작 (배치 크기: 5)
2025-05-05 08:15:45,635 - pulse-crawler - INFO - [크롤링 프로세스] 샘플 데이터 형식 - tags 타입: list
2025-05-05 08:15:46,331 - pulse-crawler - INFO - [크롤링 프로세스] Supabase API 응답 상태 코드: 201
2025-05-05 08:15:46,331 - pulse-crawler - INFO - [크롤링 프로세스] Supabase에 5개의 비디오 데이터를 성공적으로 저장했습니다. (상태 코드: 201)
2025-05-05 08:15:46,332 - pulse-crawler - INFO - [크롤링 프로세스] 데이터베이스 저장 완료
2025-05-05 08:15:46,332 - pulse-crawler - INFO - [크롤링 프로세스] 크롤링 완료
